failed to get console mode for stdout: The handle is invalid.
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.867811948Z level=info msg="Adding GroupVersion dashboard.grafana.app v2alpha1 to ResourceManager"
grafana-1  | t=2026-03-21T15:56:42.867983452Z level=info caller=logger.go:214 time=2026-03-21T15:56:42.867972551Z msg="Zanzana is not enabled; skipping folder propagation hooks"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.869038674Z level=info msg="Adding GroupVersion folder.grafana.app v1beta1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.871714832Z level=info msg="Adding GroupVersion iam.grafana.app v0alpha1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.872302944Z level=info msg="Adding GroupVersion userstorage.grafana.app v0alpha1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.873442469Z level=info msg="Adding GroupVersion playlist.grafana.app v1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.874674295Z level=info msg="Adding GroupVersion playlist.grafana.app v0alpha1 to ResourceManager"
grafana-1  | t=2026-03-21T15:56:42.874780397Z level=info caller=logger.go:214 time=2026-03-21T15:56:42.874771397Z msg="Installed APIs for app" app=playlist
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.877376653Z level=info msg="Adding GroupVersion plugins.grafana.app v0alpha1 to ResourceManager"
grafana-1  | t=2026-03-21T15:56:42.877502556Z level=info caller=logger.go:214 time=2026-03-21T15:56:42.877490455Z msg="Installed APIs for app" app=plugins
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.880248814Z level=info msg="Adding GroupVersion example.grafana.app v1alpha1 to ResourceManager"
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.880701024Z level=info msg="Adding GroupVersion example.grafana.app v0alpha1 to ResourceManager"
grafana-1  | t=2026-03-21T15:56:42.880808426Z level=info caller=logger.go:214 time=2026-03-21T15:56:42.880800326Z msg="Installed APIs for app" app=example
grafana-1  | logger=grafana-apiserver t=2026-03-21T15:56:42.885842134Z level=info msg="Adding GroupVersion notifications.alerting.grafana.app v0alpha1 to ResourceManager"
grafana-1  | t=2026-03-21T15:56:42.886000338Z level=info caller=logger.go:214 time=2026-03-21T15:56:42.885989938Z msg="Installed APIs for app" app=alerting-notifications
grafana-1  | t=2026-03-21T15:56:43.158153071Z level=info caller=logger.go:214 time=2026-03-21T15:56:43.15814327Z msg="App initialized" app=plugins
grafana-1  | t=2026-03-21T15:56:43.158167771Z level=info caller=logger.go:214 time=2026-03-21T15:56:43.15813857Z msg="App initialized" app=playlist
grafana-1  | t=2026-03-21T15:56:43.158225772Z level=info caller=logger.go:214 time=2026-03-21T15:56:43.158218172Z msg="App initialized" app=example
grafana-1  | t=2026-03-21T15:56:43.158246773Z level=info caller=logger.go:214 time=2026-03-21T15:56:43.158238573Z msg="App initialized" app=alerting-notifications
